"mdl_url","title_en","title_zh","genres","Action","Adventure","Business","Comedy","Crime","Documentary","Drama","Family","Fantasy","Food","Historical","Horror","Law","Life","Martial Arts","Medical","Melodrama","Military","Music","Mystery","Political","Psychological","Romance","Sci-Fi","Sitcom","Sports","Supernatural","Thriller","Tokusatsu","War","Wuxia","Youth"
"/4474-legend-of-concubine-zhen-huan","Legend of Concubine Zhen Huan","後宮甄嬛傳","Historical, Drama, Melodrama, Political",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"/33779-hen-jun-bu-si-jiang-lou-yue","Killer And Healer","恨君不似江楼月","Thriller, Historical, Mystery, Crime",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/50135-the-imperial-coroner","The Imperial Coroner","御赐小仵作","Historical, Mystery, Romance, Medical",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"/33272-the-story-of-ming-dynasty","The Sleuth of Ming Dynasty","成化十四年","Historical, Mystery, Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/76169-bian-liang-meng-hua-tu","A Dream of Splendor","梦华录","Historical, Romance",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/25650-beneath-the-embroidered-uniform","Under the Power","锦衣之下","Mystery, Comedy, Romance, Wuxia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"/706623-shi-guang-yu-ta-qia-shi-zheng-hao","Time and Him Are Just Right","时光与他，恰是正好","Romance, Youth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/61865-love-your-bones-forever","Forever and Ever","一生一世","Romance, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/688563-the-blue-whisper-part-2","The Blue Whisper: Part 2","恰似故人归","Romance, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/21032-the-rise-of-phoenixes","The Rise of Phoenixes","天盛长歌","Historical, Romance, Melodrama, Political",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"/37243-a-murderous-affair-in-horizon-tower","A Murderous Affair in Horizon Tower","摩天大楼","Thriller, Mystery, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/27178-ever-night","Ever Night","将夜","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/34030-skate-into-love","Skate Into Love","冰糖炖雪梨","Comedy, Romance, Youth, Sports",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"/59749-goodbye-my-princess-director-s-cut","Goodbye My Princess: Director's Cut","东宫","Historical, Romance, Drama, Political",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"/63959-sweet-teeth","Sweet Teeth","世界微尘里","Comedy, Romance, Drama, Medical",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/686115-chi-dao","Falling Into You","炽道","Romance, Drama, Sports",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"/53549-fall-in-love","Fall In Love","一见倾心","Historical, Mystery, Romance, Political",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"/61969-qiao-jia-de-er-nu","The Bond","乔家的儿女","Life, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/28037-emperor-phoenix","The Rebel Princess","上阳赋","Historical, Romance, Drama, Melodrama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/31385-put-your-head-on-my-shoulder","Put Your Head on My Shoulder","致我们暖暖的小时光","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/64085-yu-jiao-ji","The Blue Whisper: Part 1","与君初相识","Romance, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/52895-love-scenery","Love Scenery","良辰美景好时光","Music, Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"/72025-chen-xiang-ru-xie","Immortal Samsara: Part 1","沉香如屑","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/33701-douluo-continent","Douluo Continent","斗罗大陆","Comedy, Romance, Wuxia, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/63989-crush","Crush","原来我很爱你","Romance, Life, Youth, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/710595-hi-venus","Hi Venus","我可能遇到了救星","Comedy, Romance, Life, Medical",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/34129-my-roommate-is-a-detective","My Roommate Is a Detective","民国奇探","Thriller, Historical, Mystery, Comedy",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/20284-medical-examiner-dr.-qin","Medical Examiner Dr. Qin","法医秦明","Mystery, Drama, Medical",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/29240-the-fate-of-chen-xi","Love and Destiny","宸汐缘","Romance, Wuxia, Drama, Fantasy",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"/66371-unforgettable-love","Unforgettable Love","贺先生的恋恋不忘","Comedy, Romance, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/26895-ren-bu-biao-han-wang-shao-nian","When We Were Young","人不彪悍枉少年","Romance, Life, Youth",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/51565-a-river-runs-through-it","A River Runs Through It","上游","Comedy, Romance, Life, Youth",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"/23171-legend-of-fu-yao","Legend of Fu Yao","扶摇","Romance, Wuxia, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
