"mdl_url","title_en","year","eps","title_zh","genres","tags"
"/33779-hen-jun-bu-si-jiang-lou-yue","Killer And Healer",2021,37,"恨君不似江楼月","Thriller, Historical, Mystery, Crime","Bromance, Censored Romance, Chinese Republican Era, Bipolar Disorder, Homoerotic Subtext, Caring Male Lead, Drugs, Aggressive Male Lead, Investigation, Depression"
"/50135-the-imperial-coroner","The Imperial Coroner",2021,36,"御赐小仵作","Historical, Mystery, Romance, Medical","Smart Female Lead, Smart Male Lead, Investigation, Nice Male Lead, Slow Burn Romance, Tang Dynasty, Bromance, Protective Brother, Claustrophobia, Royalty"
"/33272-the-story-of-ming-dynasty","The Sleuth of Ming Dynasty",2020,48,"成化十四年","Historical, Mystery, Drama","Adapted From A Novel, Ming Dynasty, Calm Male Lead, Bromance, Smart Male Lead, Investigation, Eunuch, Murder, Comedy, Friendship"
"/76169-bian-liang-meng-hua-tu","A Dream of Splendor",2022,40,"梦华录","Historical, Romance","Strong Female Lead, Adapted From An Opera, Song Dynasty, Social Disparity, Sismance, Northern Song Dynasty, Friendship, Businesswoman Female Lead, Historical Fiction, Feminist Message"
"/25650-beneath-the-embroidered-uniform","Under the Power",2019,55,"锦衣之下","Mystery, Comedy, Romance, Wuxia","Strong Male Lead, Investigation, Smart Male Lead, Orphan Female Lead, Cold Man/Warm Woman, Smart Female Lead, Ming Dynasty, Love Triangle, Clumsy Female Lead, Slow Burn Romance"
"/706623-shi-guang-yu-ta-qia-shi-zheng-hao","Time and Him Are Just Right",2022,25,"时光与他，恰是正好","Romance, Youth","Web Series, Friendship, Fluffy, Classmates' Relationship, Misunderstanding, Transfer Student Female Lead, Student Male Lead, School Setting, Adapted From A Web Novel, Doctor Female Lead"
"/61865-love-your-bones-forever","Forever and Ever",2021,30,"一生一世","Romance, Drama","Reincarnated Lovers, Calm Male Lead, Slow Burn Romance, Shy Male Lead, Family Business, Rich Family, Rich Male Lead, Mean Mother-in-law, Healthy Mains’ Relationship, Love At First Sight"
"/688563-the-blue-whisper-part-2","The Blue Whisper: Part 2",2022,20,"恰似故人归","Romance, Wuxia, Fantasy","Clingy Male Lead, First Love, Adapted From A Novel, Merman Male Lead, Prince Male Lead, Cultivation, Xuanhuan, Sect, Loss Of Trust, Immortal Realm"
"/21032-the-rise-of-phoenixes","The Rise of Phoenixes",2018,70,"天盛长歌","Historical, Romance, Melodrama, Political","Smart Male Lead, Power Struggle, Scheme, Strong Female Lead, Hidden Identity, Revenge, Cross-Dressing, Royalty, Political Intrigue, Adapted From A Novel"
"/37243-a-murderous-affair-in-horizon-tower","A Murderous Affair in Horizon Tower",2020,16,"摩天大楼","Thriller, Mystery, Drama","Adapted From A Novel, Murder, Death, Friendship, Investigation, Suspense, Foster Care, Selfish Mother, Mental Illness, Blackmail"
